,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Expandable Memory,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,Supported Operating System,Mic In,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,price,Battery Cell,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,HDD Capacity,System Architecture,RJ45,Hardware Interface,Sound Chip,Refresh Rate,Ethernet,Pointer Device,EMMC Storage Capacity,Multi Card Slot,Security Chip,Chipset,Memory Slots,RPM,RAM Frequency,Lock Port,TGP,S-video,RJ11,VGA Port,NFC Support,Face Recognition,Laptop Bag,Other Accessories,Dock Port,Firewire Port,Read/Write Speed,Antivirus,International Warranty,Wireless WAN,Recovery Options,Brightness,Stylus Included,Inbuilt 4G LTE
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",IdeaPad 3 15ITL6 Ub,82H802EYIN|82H801L3IN,15ITL6,IdeaPad 3 Intel,Arctic Grey,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Upto 12 hours,65 W Round Tip,Yes,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,1115G4,"Base Frequency 3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",Upto12GB,6,Intel Integrated UHD,2,64 bit,Windows 11 Home,Windows 11 Home 64,Yes,"1 x USB-C 3.2 Gen 1, 1 x USB 2.0 , 1 x USB 3.2 Gen 1",1 x HDMI 1.4b,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD TN 250nits Anti-glare,Built-in dual stereo speakers,Built-in array microphones,"High Definition (HD) Audio, Realtek ALC3287 codec, Dolby Audio","11ac, 2x2",v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p with Privacy Shutter,No,"Non-backlit, English",No,Office Home and Student 2021,45 Wh battery,2 Years Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,36980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Laptop, battery, power adapter, user guide",GF63 Thin 10SCXR-1618IN / GF63 Thin 10SC-612IN,9S7-16R512-612,GF63 Thin 10SCXR-1618IN / GF63 Thin 10SC-612IN,GF63 Thin,Black,Gaming Laptop,Gaming,,120W Adapter,No,Intel,Core i5,10th Gen,No,,8 GB,DDR4,10300H,2.5 GHz with 4.5 GHz Max Turbo Boost Frequency,,8,NVIDIA GeForce GTX 1650 Max Q,,64 bit,Windows 10 Home,,,"1x Type-C USB3.2 (Gen1), 3x Type-A USB3.2 (Gen1)",1 x HDMI Port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (60Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,359 x 254 x 21.7,1.86 KG,Not Available,720p HD Webcam (30fps@720p),,Single Backlit Keyboard (Red),Yes,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3","3-Cell, 51 Whr Battery",2 Year Warranty Term for Gaming & Content Creation (EU-WE),Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",,47990,3,GDDR6,4 GB,1 TB,64,Yes,NVMe PCIe,Realtek ALC 269,60 Hz,Yes,Touchpad,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Laptop, battery, adapter, cables and user manuals",ideapad 3 cb 11igl05 2,82BA001PHA|82BA0029HA,CB 11IGL05,IdeaPad 3 Chromebook Intel,Onyx Black,Chromebook,Processing & Multitasking,Upto 10 Hours,45W USB-C,No,Intel,Celeron Dual Core,,No,,4 GB,LPDDR4,N4020,Max Frequency Up to 2.8 GHz,,,Intel Integrated UHD,,,Chrome,Chrome OS,Yes,"2 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort), 2 x USB 3.2 Gen 1",,No,29.46 cm (11.6 Inch),1366 x 768 Pixel,HD TN 250nits Anti-glare,Built-in Stereo Speakers,Built-in array microphone,2 x 2 Stereo Speaker,"11ac, 2x2",v4.2,286.7 x 205.5 x 18.05 mm,1.12 kg,Not Available,720p,No,"Non-backlit, English",No,,42Wh,1 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,1 Year,14990,,,,,,,,,,,,64 GB,1 x card reader,,,,,,,,,,,,,,,,,,,,,,,,
3,"Laptop, Power Adaptor, User Guide, Warranty Documents",14-EC1019AU,6D9T7PAA#ACJ/ 6D9T7PA#ACJ,14-EC1019AU,Pavilion (2023) Eyesafe,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,16 GB,DDR4,5625U,2.4 GHz upto max turbo frequency at 4.3 Ghz,,16,AMD Radeon AMD,6,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 10Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 2.1 port,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD, IPS, micro-edge, Antiglare, Low Blue Light, Brightness: 400 nits, 157 ppi, Color Gamut: 100%sRGB",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,Audio by B&O,Realtek Wi-Fi CERTIFIED 6 (2x2),v5.2,325 x 216 x 17 mm,1.41 kg,Not Available,HP Wide Vision 720p HD camera,Yes,"Full-size, backlit, Natural Silver keyboard",Yes,,43 Wh Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,57990,3 Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1402ZA-EK522WS,90NB0WP1-M00EB0,X1402ZA-EK522WS,Vivobook 14 (2022),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,45 W AC Adapter,Yes,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,DDR4,1235U,"Base Frequency 1.3 GHz, Max Turbo Frequency Upto 4.4 GHz",,10 MB,Intel Integrated UHD,10,,Windows 11 Home,Windows 11 Home,Yes,"1 x DC-in, 1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",1 x HDMI 1.4,No,35.56 cm (14 inch),1920 x 1080 Pixels,"Full HD, Aspect Ratio: 16:9, LED Backlit LCD, Brightness: 220 Nits, 45% NTSC Color Gamut, Anti-Glare Display, Screen-to-Body Ratio: 82%",Built-in Speaker,Built-in array microphone,,Wi-Fi 6 (802.11ax) (Dual Band) 2 x 2,v5.0,324.9 x 213.9 x 19.9 mm,1.50 kg,Not Available,720p HD cameraWith privacy shutter,Yes,Chiclet Keyboard,No,Microsoft Office Home & Student 2021,"42WHrs, 3S1P, 3-cell Li-ion",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,48990,3 Cell,,,,,,M.2 2280 PCIe 4.0x4,SonicMaster,,,,,,"BIOS Booting User Password Protection, BIOS Setup User Password, Trusted Platform Module (Firmware TPM)",,,,,,,,,,,,,,,,,,,,,,,
5,"Laptop, Power Adaptor, User Guide, Warranty Documents",15IRH8,82XV00BRIN,15IRH8,LOQ,Storm Grey,Gaming Laptop,"Everyday Use, Gaming, Processing & Multitasking",Upto 5.32 Hours,170W Slim Tip Adapter (3 Pin),Yes,Intel,Core i7,13th Gen,Yes,512 GB,16 GB,DDR5,13620H,"Base Frequency 2.4 GHz, Max Turbo Boost at 4.9 GHz",16 GB,24 MB,NVIDIA GeForce RTX 4060,10,,Windows 11 Home,Windows 11,Yes,"1 x USB 3.2 Gen 1, 2 x USB 3.2 Gen 2, 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery 140W and DisplayPort 1.4)","1 x HDMI 2.1, Upto 8K/60Hz",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 350nits Anti-glare, 45% NTSC, Refresh Rate: 144Hz, G-SYNC",2W Dual Stereo Speakers,Dual Array Microphone,Nahimic Gaming Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.6 x 264.8 x 22.1 mm,2.4 kg,Not Available,Full HD 1080p with E Shutter,,"White Backlit, English",Yes,Microsoft Office Home & Student 2021,"Integrated 60Wh Battery, AI Chip: LA1",1 Year Carry-in Warranty,Carry-In,Manufacturing Damage,Physical Damage,1 Year,114990,,GDDR6,8 GB,,,Yes,PCIe 4.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",,100/1000M (RJ-45),,,,Firmware TPM 2.0 Enabled,Intel SoC Platform,2,5200,,,,,,,,,,,,,,,,,,,,
6,"Laptop, Power Adaptor, User Guide, Warranty Documents",CB 11IJL6,82N3000DHA|82N30012HA|82N30019HA,,IdeaPad Flex 3 Chromebook Intel,Arctic Grey,Chromebook,Processing & Multitasking,Upto 10 hours,45W USB-C (3-pin) Adapter,No,Intel,Celeron Dual Core,,No,,4 GB,LPDDR4X,N4500,1.1 GHz with Turbo Boost Upto 2.8 GHz,,4 MB,Intel Integrated UHD,2,64 bit,Chrome,,Yes,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer, Power Delivery 3.0 and DisplayPort 1.4)",1 x HDMI Port (v1.4),Yes,29.46 cm (11.6 inch),1366 x 768 Pixel,"HD LED Backlit IPS Glossy 10-point Multi-touch Display (250 nits Brightness, 50% NTSC Color Gamut)",Built-in Dual Speakers,Dual Array Microphone,"High Definition (HD) Audio, 2 W x 2 Stereo Speakers",11ax (2x2),v5.0,285.5 x 205.2 x 18.45 mm,1.25 kg,Not Available,720p Webcam,No,English Non Backlit Keyboard,No,,Integrated 42Wh Battery,1 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,1 Year,26490,,,,,64 bit,No,,Realtek ALC5682I Codec,,,Touchpad,128 GB,1 x microSD Card Slot,Google Security Chip H1,Intel SoC,,,2933 MHz,Kensington Security Slot,,,,,,,,,,,,,,,,,,
7,"MacBook Pro, 140W USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",MNW93HN/A,MNW93HN/A,MNW93HN/A,2023 MacBook Pro,Space Grey,Laptop,Processing & Multitasking,Upto 18 Hours,140W USB-C Power Adapter,No,Apple,M2 Pro,,Yes,1 TB,16 GB,Unified Memory,Apple M2 Pro,,,,NA,12,,macOS Ventura,,,"3 x Thunderbolt 4 (USB-C) ports with support for Charging, DisplayPort, Thunderbolt 4 (up to 40 Gbps), USB 4 (up to 40 Gbps)",,No,40.64 cm (16 Inch),3456 x 2234 Pixel,"Liquid Retina XDR display, 10,00,000:1 contrast ratio, XDR brightness: 1,000 nits sustained full screen, 1,600 nits peak2 (HDR content only),SDR brightness: 500 nits",Stereo speakers,Studio?quality three-mic array with high signal-to-noise ratio and directional beamforming,"High-fidelity six-speaker sound system with force-cancelling woofers, Wide stereo sound, Support for Spatial Audio when playing music or video with Dolby Atmos on built-in speakers",Wi-Fi 6E (802.11ax),v5.3,355.7 x 248.1 x 16.8 mm,2.15 Kg,Not Available,1080p FaceTime HD camera,,Backlit Magic Keyboard,Yes,,100-watt-hour lithium-polymer battery,1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,248490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Laptop, Power Adaptor, User Guide, Warranty Documents",15ACH6,82K201RXIN,Ideapad Gaming 3,,Shadow_black,Laptop,Processing & Multitasking,Upto 9.29 Hours,230W Slim Tip (3-pin),Yes,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR4,5800H,3.2 GHz with Turbo Boost Upto 4.4 GHz,Upto 16 GB,20,"NVIDIA GeForce GTX NVIDIA GeForce RTX 3050 4GB GDDR6, Boost Clock 1500 / 1635MHz, TGP 85W",8,64 bit,Windows 11 Home,,Yes,"3 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 2 (Support Data Transfer and DisplayPort 1.4), 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery and DisplayPort 1.4)",1 x HDMI 2.1,No,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,"Full HD IPS 300nits Anti-glare, 165Hz, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC Dimmer Display",Dual Stereo Speakers,Built-in Dual Array Microphones,,"11ax, (2x2)",v5.1,362.56 x 260.61 x 22.5-25.75,2.4 Kg,Not Available,720p Webcam with E-camera Shutter,No,4-Zone RGB Backlit Keyboard,Yes,Microsoft Office Home and Student 2021,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,79898,,GDDR6,4 GB,,64,,PCIe NVMe,"High Definition (HD) Audio, Realtek ALC3306 codec",,100/1000M,Touchpad,,,Firmware TPM 2.0,AMD SoC Platform,2,,,,,,,,,,,,,,,,,,,,,
9,"Laptop, Power Adaptor, User Guide, Warranty Documents",ef0053TU,6K7X3PA#ACJ,Spectre x360 13,Spectre Eyesafe Intel Evo,Nightfall Black,Notebook,Processing & Multitasking,,65 W Smart AC Power Adapter,Yes,Intel,Core i7,12th Gen,Yes,512 GB,16 GB,LPDDR4X,1255U,Max Turbo Boost Frequency Upto 4.7 GHz,,12,NA,10,64 bit,Windows 11 Home,Windows 11 Home,Yes,"2 x Thunderbolt 4 with USB 4 Type-C 40 Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x SuperSpeed USB Type-A 10 Gbps Signaling Rate (HP Sleep and Charge)",,No,34.29 cm (13.5 inch),3000 x 2000 Pixels,"OLED, Multitouch Enabled, UWVA, Edge-to-Edge Glass, Micro Edge, Anti Reflection Corning Gorilla Glass NBT Low Blue Light, VESA True Black HDR 400, SDR Brightness: 400 nits, HDR Brightness: 500 nits, TUV Eye Safe Certified, Flicker Free, Color Gamut: 100% DCI-P3",Built-in Quad Speakers,Built-in Dual Array Digital Microphones,"Audio by Bang & Olufsen, HP Audio Boost",Intel Wi-Fi 6E AX211 (2x2),v5.2 Combo,298.0 x 220.1 x 16.0 mm,1.34 kg,Not Available,"HP True Vision 5MP Infrared (IR) Camera with Camera Shutter, Temporal Noise Reduction",Yes,"Full Size, Backlit, Nightfall Black Keyboard",,,"66 Whr Long Life, Fast Charge - 50% in 45 mins, HP Glamcam & HP Presence, 5MP IR Camera, Appearance Filter, Backlight Adjustment, Auto Frame Technology, AI Noise Removal and Dynamic Voice Levelling, Fingerprint Reader, HP Notebook Protective Sleeve, MU-MIMO Supported, HP USB C to HDMI 2.0 Adaptor",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,109990,4 Cell,,,,64 bit,,PCIe NVMe TLC M.2,,,,"HP Imagepad with Multi Touch Gesture Support, HP Rechargeable MPP 2.0 Tilt Pen",,1 x MicroSD Media Card Reader (Support SD/SDHC/SDxC),"Productivity, HP Connection Optimizer, HP Support Assistant, HP Recovery Manager, HP Documentation, HP System Event Utility, HP Jumpstart",,,,4266 MHz,,,,,,,,,,,,,,,,,,,
